J,MaxVanillaIw,AvgNormIw,MinVanillaIw,MinNormIw,AvgRet,ESSClassic,BatchSize,AvgEpLen,AvgVanillaIw,MaxNormIw,ESSRenyi,VarJ,VarDiscRet,AvgDiscRet,VarRet,VarVanillaIw,eRenyi2,VanillaAvgRet,VarNormIw,Bound
821.2724,19932553000.0,0.01,2.6442009e-25,1.324829e-35,-7.275957614183426e-14,1.002635331062456,100,147.74,199588080.0,0.9986845,nan,16.973633,1300563.8559800384,-7.275957614183426e-14,1300563.8559800384,3.9729643e+18,nan,1467.497719337779,0.0099734515,163916170000.0
2051.1013,210247.08,0.01,,,2.4783730623312296e-13,1.0,100,123.88,2102.4707,1.0,nan,,971452.4734280476,2.4783730623312296e-13,971452.4734280476,442038300.0,nan,1228.7041831546558,0.010000002,4309206.5
2870.9148,2412837.2,0.01,,,1.341504685115069e-13,1.1174329024653422,100,141.94,25546.227,0.9444985,nan,121.64099,1559219.9036182608,1.341504685115069e-13,1559219.9036182608,58333327000.0,nan,1409.6068054049863,0.008938471,73338180.0
397.6235,56630380000.0,0.010000002,,,1.4097167877480388e-13,3.000000700415237,100,135.56,1698911500.0,0.3333333,nan,6484.7573,1291703.0842847812,1.4097167877480388e-13,1291703.0842847812,9.426635e+19,nan,1345.5043343728396,0.003265993,675527070000.0
-1.335144e-05,1.0,0.009999998,1.0,0.01,-9.777068044058978e-14,100.0,100,152.68,1.0,0.01,nan,1227.387,1521695.6737920751,-9.777068044058978e-14,1521695.6737920751,,nan,1516.8824910715007,3.5044917e-18,-293.14655
0.06267452,1.1414195,0.009999996,0.9956949,0.009985383,3.501554601825774e-13,99.97892050117267,100,137.68,0.9971524,0.011446791,nan,1128.9578,1291185.8082218526,3.501554601825774e-13,1291185.8082218526,0.0002123567,nan,1366.8923806753626,2.1357133e-08,-305.73132
7.3592377,4.194456e+34,0.009999998,,,-1.546140993013978e-13,,100,118.84,4.1525121e+34,0.010101008,nan,968.8783,934754.0314761935,-1.546140993013978e-13,934754.0314761935,inf,nan,1178.4057124903507,1.0203036e-06,3.0559305e+35
5.722046e-06,1.0,0.009999998,1.0,0.01,7.958078640513123e-15,100.0,100,138.29,1.0,0.01,nan,1101.3301,1225179.6530277,7.958078640513123e-15,1225179.6530277,,nan,1372.9001478446592,3.5044917e-18,-305.2644
-9.536743e-07,1.0,0.009999998,1.0,0.01,-1.6143530956469475e-13,100.0,100,148.66,1.0,0.01,nan,1218.0823,1498711.5430452423,-1.6143530956469475e-13,1498711.5430452423,,nan,1476.501856485976,3.5044917e-18,-296.51907
-9.536743e-06,1.0,0.009999998,1.0,0.01,-5.684341886080802e-14,100.0,100,136.17,1.0,0.01,nan,1052.624,1119209.361513843,-5.684341886080802e-14,1119209.361513843,,nan,1351.6026851467332,3.5044917e-18,-307.04785
2.0980835e-05,1.0,0.009999998,1.0,0.01,2.7284841053187846e-13,100.0,100,147.41,1.0,0.01,nan,1246.5632,1569615.9681246947,2.7284841053187846e-13,1569615.9681246947,,nan,1464.1901315242428,3.5044917e-18,-297.57343
2.002716e-05,1.0,0.009999998,1.0,0.01,1.7962520360015334e-13,100.0,100,145.38,1.0,0.01,nan,1197.8429,1449320.6109237662,1.7962520360015334e-13,1449320.6109237662,,nan,1443.895849510864,3.5044917e-18,-299.2892
-1.9073486e-06,1.0,0.009999998,1.0,0.01,4.0017766878008843e-13,100.0,100,144.69,1.0,0.01,nan,1135.8248,1303129.330481544,4.0017766878008843e-13,1303129.330481544,,nan,1436.8980771759216,3.5044917e-18,-299.87512
-2.670288e-05,1.0,0.009999998,1.0,0.01,8.640199666842818e-14,100.0,100,141.83,1.0,0.01,nan,1127.8466,1284886.6594690422,8.640199666842818e-14,1284886.6594690422,,nan,1408.5092248562441,3.5044917e-18,-302.26746
5.722046e-06,1.0,0.009999998,1.0,0.01,-1.5802470443304627e-13,100.0,100,154.01,1.0,0.01,nan,1218.166,1498917.5870966564,-1.5802470443304627e-13,1498917.5870966564,,nan,1530.2902927664895,3.5044917e-18,-292.01813
,1.0370697e-09,0.009999998,1.0370697e-09,0.009999998,-2.8308022592682394e-13,100.00004796013307,100,127.95,1.0370699e-09,0.009999998,nan,968.3319,947138.3140267137,-2.8308022592682394e-13,947138.3140267137,4.980182e-32,nan,1269.3982588432073,,-313.97522
,0.67032415,0.009999997,0.67032415,0.009999997,2.285105438204482e-13,100.00005690825692,100,140.76,0.6703243,0.009999997,nan,1220.3623,1504327.8961588289,2.285105438204482e-13,1504327.8961588289,3.2297397e-14,nan,1397.7086109486277,,-303.1764
1.9073486e-06,1.0,0.009999998,1.0,0.01,-1.6143530956469475e-13,100.0,100,143.98,1.0,0.01,nan,1010.30945,1031035.4547774482,-1.6143530956469475e-13,1031035.4547774482,,nan,1429.6879046374015,3.5044917e-18,-300.4509
,1.0,0.009999998,1.0,0.01,6.139089236967266e-14,100.0,100,164.67,1.0,0.01,nan,1288.6666,1677436.208103406,6.139089236967266e-14,1677436.208103406,,nan,1636.9990031940417,3.5044917e-18,-283.03726
5.722046e-06,1.0,0.009999998,1.0,0.01,1.77351466845721e-13,100.0,100,147.66,1.0,0.01,nan,1126.8057,1282516.1762469239,1.77351466845721e-13,1282516.1762469239,,nan,1466.3946841838094,3.5044917e-18,-251.93349
1.7166138e-05,1.0,0.009999998,1.0,0.01,7.16227077646181e-14,100.0,100,144.94,1.0,0.01,nan,1225.6633,1517424.8915830662,7.16227077646181e-14,1517424.8915830662,,nan,1439.389662635422,3.5044917e-18,-299.6685
1.335144e-05,1.0,0.009999998,1.0,0.01,2.773958840407431e-13,100.0,100,157.32,1.0,0.01,nan,1305.6326,1721895.4277869186,2.773958840407431e-13,1721895.4277869186,,nan,1563.5027615837328,3.5044917e-18,-289.22275
-1.9073486e-06,167748.31,0.010000003,167748.31,0.010000002,1.3642420526593923e-13,99.99996125147685,100,149.63,167748.28,0.010000002,nan,1261.2174,1606736.1982544377,1.3642420526593923e-13,1606736.1982544377,0.0009864267,nan,1486.312826976342,8.761229e-19,-291.87943
7.6293945e-06,1.0,0.009999998,1.0,0.01,1.8189894035458565e-14,100.0,100,133.84,1.0,0.01,nan,1116.9426,1260162.4934819154,1.8189894035458565e-14,1260162.4934819154,,nan,1328.1996900171414,3.5044917e-18,-263.56476
-4.2915344e-06,1.0,0.009999998,1.0,0.01,-4.320099833421409e-14,100.0,100,127.75,1.0,0.01,nan,992.0932,994190.7917855489,-4.320099833421409e-14,994190.7917855489,,nan,1267.402566046709,3.5044917e-18,-314.126
3.8146973e-06,1.0,0.009999998,1.0,0.01,-1.750777300912887e-13,100.0,100,147.54,1.0,0.01,nan,1092.9574,1206621.9936506255,-1.750777300912887e-13,1206621.9936506255,,nan,1465.1939650086888,3.5044917e-18,-248.66779
-3.8146973e-06,1.0,0.009999998,1.0,0.01,-1.7053025658242404e-14,100.0,100,130.2,1.0,0.01,nan,1026.5945,1064541.6276535029,-1.7053025658242404e-14,1064541.6276535029,,nan,1291.7883232822535,3.5044917e-18,-246.43019
3.8146973e-06,1.0,0.009999998,1.0,0.01,1.1368683772161603e-13,100.0,100,168.59,1.0,0.01,nan,1432.0553,2071497.201712745,1.1368683772161603e-13,2071497.201712745,,nan,1676.2922234377243,3.5044917e-18,-279.73026
,1.0,0.009999998,1.0,0.01,-1.3642420526593923e-14,100.0,100,127.61,1.0,0.01,nan,940.7683,893984.7658830131,-1.3642420526593923e-14,893984.7658830131,,nan,1265.900800435644,3.5044917e-18,-238.49672
